"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"GROVER_RDKit"	"GROVER"	"Precision_NPV"	" CYP3A4"	"scaffold"	0.0574595460285453	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"Precision_NPV"	" CYP3A4"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUROC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUROC"	" MOR"	"scaffold"	0.000710141785345457	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUROC"	" MOR"	"scaffold"	4.21647837101288e-05	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUROC"	" MOR"	"scaffold"	0.000410130725819514	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUROC"	" MOR"	"scaffold"	0.000710141785345457	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUROC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUROC"	" MOR"	"scaffold"	0.293858729054122	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUROC"	" MOR"	"scaffold"	0.790147056174559	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUROC"	" MOR"	"scaffold"	4.21647837101288e-05	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUROC"	" MOR"	"scaffold"	0.293858729054122	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUROC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUROC"	" MOR"	"scaffold"	0.344044940644476	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUROC"	" MOR"	"scaffold"	0.000410130725819514	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUROC"	" MOR"	"scaffold"	0.790147056174559	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUROC"	" MOR"	"scaffold"	0.344044940644476	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUROC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUPRC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUPRC"	" MOR"	"scaffold"	0.000346457398898125	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUPRC"	" MOR"	"scaffold"	2.68360651029375e-05	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUPRC"	" MOR"	"scaffold"	0.00133559142592683	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUPRC"	" MOR"	"scaffold"	0.000346457398898125	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUPRC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUPRC"	" MOR"	"scaffold"	0.416135847078279	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUPRC"	" MOR"	"scaffold"	0.976410907876082	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUPRC"	" MOR"	"scaffold"	2.68360651029375e-05	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUPRC"	" MOR"	"scaffold"	0.416135847078279	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUPRC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUPRC"	" MOR"	"scaffold"	0.515359797580285	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUPRC"	" MOR"	"scaffold"	0.00133559142592683	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUPRC"	" MOR"	"scaffold"	0.976410907876082	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUPRC"	" MOR"	"scaffold"	0.515359797580285	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUPRC"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_PPV"	" MOR"	"scaffold"	1	"ranksums"	">=0.05"
