"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"4. AtomPairs"	"3. MACCS"	"AUROC"	" CYP2D6"	" Scaffold"	0.564214705145786	"ranksums"	">=0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.477919704209092	"ranksums"	">=0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"AUROC"	" CYP2D6"	" Scaffold"	0.988204164940098	"ranksums"	">=0.05"
"4. AtomPairs"	"4. AtomPairs"	"AUROC"	" CYP2D6"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"AUROC"	" CYP3A4"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	" CYP3A4"	" Scaffold"	0.66810637961831	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"AUROC"	" CYP3A4"	" Scaffold"	0.424662204650892	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.784459768949546	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.173777038979135	"ranksums"	">=0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	" CYP3A4"	" Scaffold"	0.155810161610851	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	" CYP3A4"	" Scaffold"	0.66810637961831	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	" CYP3A4"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	" CYP3A4"	" Scaffold"	0.242819024256211	"ranksums"	">=0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.994101921325495	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.0760414758302434	"ranksums"	">=0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	" CYP3A4"	" Scaffold"	0.344044940644476	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	" CYP3A4"	" Scaffold"	0.424662204650892	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	" CYP3A4"	" Scaffold"	0.242819024256211	"ranksums"	">=0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	" CYP3A4"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.176127545483988	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.836023950489311	"ranksums"	">=0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	" CYP3A4"	" Scaffold"	0.0227980810495788	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	" CYP3A4"	" Scaffold"	0.784459768949546	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	" CYP3A4"	" Scaffold"	0.994101921325495	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	" CYP3A4"	" Scaffold"	0.176127545483988	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.125970193170972	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	" CYP3A4"	" Scaffold"	0.176127545483988	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"AUROC"	" CYP3A4"	" Scaffold"	0.173777038979135	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"AUROC"	" CYP3A4"	" Scaffold"	0.0760414758302434	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"AUROC"	" CYP3A4"	" Scaffold"	0.836023950489311	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.125970193170972	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"AUROC"	" CYP3A4"	" Scaffold"	0.00367089339245065	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"AUROC"	" CYP3A4"	" Scaffold"	0.155810161610851	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"AUROC"	" CYP3A4"	" Scaffold"	0.344044940644476	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"AUROC"	" CYP3A4"	" Scaffold"	0.0227980810495788	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.176127545483988	"ranksums"	">=0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"AUROC"	" CYP3A4"	" Scaffold"	0.00367089339245065	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"AUROC"	" CYP3A4"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"AUROC"	" MOR"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	" MOR"	" Scaffold"	0.847587480259332	"ranksums"	">=0.05"
