"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"BBBP"	" Scaffold"	1.12843853479619e-05	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	"BBBP"	" Scaffold"	0.442017913975686	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"AUROC"	"BBBP"	" Scaffold"	0.0255853526590097	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"AUROC"	"BBBP"	" Scaffold"	0.000927271862209823	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"AUROC"	"BBBP"	" Scaffold"	0.000387782129570984	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"AUROC"	"BBBP"	" Scaffold"	1.12843853479619e-05	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"BBBP"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"AUROC"	"BBBP"	" Scaffold"	0.000113975424637973	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"AUROC"	"BBBP"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"4. AtomPairs"	"2. MorganCounts"	"AUROC"	"BBBP"	" Scaffold"	0.416135847078279	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"AUROC"	"BBBP"	" Scaffold"	0.941072349139827	"ranksums"	">=0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.442017913975686	"ranksums"	">=0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.000113975424637973	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"AUROC"	"BBBP"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"AUROC"	"HIV"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	"HIV"	" Scaffold"	0.43328979562189	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"AUROC"	"HIV"	" Scaffold"	0.0527747206160589	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	"HIV"	" Scaffold"	9.49730301429274e-05	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	"HIV"	" Scaffold"	1.26579577283706e-10	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	"HIV"	" Scaffold"	0.477919704209092	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	"HIV"	" Scaffold"	0.43328979562189	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	"HIV"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	"HIV"	" Scaffold"	0.0100969866128517	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	"HIV"	" Scaffold"	5.27348258948524e-06	"ranksums"	"<0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	"HIV"	" Scaffold"	5.77298630087336e-11	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	"HIV"	" Scaffold"	0.178501674863836	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	"HIV"	" Scaffold"	0.0527747206160589	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	"HIV"	" Scaffold"	0.0100969866128517	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	"HIV"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	"HIV"	" Scaffold"	0.0255853526590097	"ranksums"	"<0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	"HIV"	" Scaffold"	1.94330131592334e-09	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	"HIV"	" Scaffold"	0.173777038979135	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	"HIV"	" Scaffold"	9.49730301429274e-05	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	"HIV"	" Scaffold"	5.27348258948524e-06	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	"HIV"	" Scaffold"	0.0255853526590097	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	"HIV"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"HIV"	" Scaffold"	1.62655415638769e-08	"ranksums"	"<0.05"
