"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"   RF"	"GIN"	"RMSE"	" CYP2D6"	"random"	0.236906642783316	"ranksums"	">=0.05"
"   RF"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	" CYP2D6"	"random"	1.86472615897586e-10	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	" CYP2D6"	"random"	1.53700451150974e-10	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	1.7723908495885e-08	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	" CYP2D6"	"random"	1.69058805096499e-05	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	" CYP2D6"	"random"	3.64317105026695e-10	"ranksums"	"<0.05"
"   SVM"	"GIN"	"RMSE"	" CYP2D6"	"random"	1.04155088815095e-10	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	0.964622805113689	"ranksums"	">=0.05"
"   SVM"	"GROVER"	"RMSE"	" CYP2D6"	"random"	0.00147961889644207	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"RMSE"	" CYP2D6"	"random"	0.000879453706472618	"ranksums"	"<0.05"
"   XGBoost"	"   SVM"	"RMSE"	" CYP2D6"	"random"	1.7723908495885e-08	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	" CYP2D6"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	" CYP2D6"	"random"	4.73402068419889e-11	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	" CYP2D6"	"random"	0.00190453216444955	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"RMSE"	" CYP2D6"	"random"	7.42541973836634e-05	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	" CYP2D6"	"random"	1.15127886155174e-08	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	" CYP2D6"	"random"	2.12839236281228e-09	"ranksums"	"<0.05"
