"mean_metric_score"	"std_metric_score"	"split_type"	"mol_prop"	"model_name"	"radius"	"nbit"	"metric_name"
0.762009208909517	0.0455661645398861	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 1024"	"Pearson_R"
1.80044586841797	0.252934954111438	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 2048"	"  RMSE"
1.30090264492544	0.164611818968407	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 2048"	" MAE"
0.688872565022629	0.154181650024516	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 2048"	" R2"
0.829989816630176	0.0983395256325244	"scaffold"	"  MDR1"	"RF"	"Radius: 3"	"NumBits: 2048"	"Pearson_R"
1.68791293521848	0.147905736767473	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 2048"	"  RMSE"
1.26932258117365	0.0908364578559114	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 2048"	" MAE"
0.268384888554767	0.0639905728421579	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 2048"	" R2"
0.529466279646074	0.0646391399916544	"scaffold"	" CYP2D6"	"RF"	"Radius: 3"	"NumBits: 2048"	"Pearson_R"
1.59924467974604	0.214851616109476	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 2048"	"  RMSE"
1.16147053065895	0.14983801928841	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 2048"	" MAE"
0.393326734007738	0.131948535331032	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 2048"	" R2"
0.641784480689602	0.079673922896087	"scaffold"	" CYP3A4"	"RF"	"Radius: 3"	"NumBits: 2048"	"Pearson_R"
1.97089662251341	0.236913080890812	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 2048"	"  RMSE"
1.43077056886334	0.166797569001161	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 2048"	" MAE"
0.549589495237842	0.103069486310316	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 2048"	" R2"
0.746689007622394	0.0663481879135657	"scaffold"	" MOR"	"RF"	"Radius: 3"	"NumBits: 2048"	"Pearson_R"
1.93437127102238	0.205086816196807	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 2048"	"  RMSE"
1.43076298607621	0.168327136839578	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 2048"	" MAE"
0.589330831758299	0.0910547497654677	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 2048"	" R2"
0.773511377048287	0.0587692344768153	"scaffold"	"DOR"	"RF"	"Radius: 3"	"NumBits: 2048"	"Pearson_R"
2.07782915076084	0.205827247131145	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 2048"	"  RMSE"
1.56549843588621	0.147427685062955	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 2048"	" MAE"
0.577461670136564	0.0750812220016051	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 2048"	" R2"
0.765136048352621	0.0470681153382929	"scaffold"	"KOR"	"RF"	"Radius: 3"	"NumBits: 2048"	"Pearson_R"
