"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.RMSE"	"std_metric_score.RMSE"	"mean_metric_score.MAE"	"std_metric_score.MAE"	"mean_metric_score.R2"	"std_metric_score.R2"	"mean_metric_score.Pearson_R"	"std_metric_score.Pearson_R"
"Scaffold"	"5. PhysChem Descriptors"	"  MDR1"	"XGBoost"	2.33209697736031	0.405742817134673	1.72693684884002	0.287392693613721	0.502815657564386	0.197829088750012	0.728856076148546	0.118664196563492
"Scaffold"	"4. AtomPairs"	"  MDR1"	"XGBoost"	1.75041189152097	0.263120019221602	1.29987299966912	0.179375600156461	0.706902860922628	0.143132218212213	0.844025923409675	0.0889859097940766
"Scaffold"	"1. MorganBits"	" CYP2D6"	"RF"	1.67634816887714	0.131635417111518	1.2583655419107	0.0796113838771964	0.277717993214267	0.0584761600503566	0.535934621875481	0.0554256147448444
"Scaffold"	"2. MorganCounts"	" CYP2D6"	"RF"	1.68101219131876	0.131685154499946	1.25663641226913	0.0801791217828914	0.274319106300958	0.049157135974885	0.532210691073707	0.0484788583684078
"Scaffold"	"3. MACCS"	" CYP2D6"	"RF"	1.75232611473807	0.124201019013825	1.33401498547553	0.0953608921105611	0.204257931327128	0.12576136795103	0.486156468981923	0.0844002110116109
"Scaffold"	"0. RDKit Descriptors"	" CYP2D6"	"RF"	1.66788029097495	0.128534934618313	1.26909065600986	0.0757643604218667	0.284872586809544	0.0549382682842398	0.544260547496918	0.0525111929650119
"Scaffold"	"5. PhysChem Descriptors"	" CYP2D6"	"RF"	1.80233401014793	0.146446299187848	1.36676004212508	0.0987750636244346	0.165280238626978	0.0668334080059547	0.426947809545877	0.0600879622057128
"Scaffold"	"4. AtomPairs"	" CYP2D6"	"RF"	1.68422157134235	0.139728214796736	1.2774428165582	0.0863278442039638	0.270932926832666	0.0656571124013048	0.531962151479805	0.0655862824334812
"Scaffold"	"1. MorganBits"	" CYP2D6"	"SVM"	2.33221289779201	0.174283270795427	1.75485753526337	0.116858894710287	-0.406069992106018	0.187936535457801	0.33651121564471	0.075785781938571
"Scaffold"	"2. MorganCounts"	" CYP2D6"	"SVM"	2.34273496624747	0.178559289776926	1.76803156998804	0.121386757053128	-0.421171302950322	0.222507577639893	0.348952124605637	0.06461523954757
"Scaffold"	"3. MACCS"	" CYP2D6"	"SVM"	1.8753208747942	0.132141220048899	1.42097171573406	0.101018613934935	0.0917380273967008	0.108791262686339	0.387046962825058	0.0848558149623269
"Scaffold"	"0. RDKit Descriptors"	" CYP2D6"	"SVM"	1.86930476870754	0.178846932310086	1.40332166621104	0.115834816963838	0.101312883593787	0.101564430338655	0.396262259821468	0.0891968195995617
"Scaffold"	"5. PhysChem Descriptors"	" CYP2D6"	"SVM"	2.79359923086708	1.06926102235953	2.31627376562883	1.05608933719954	-1.35322893529909	2.13418572280866	0.242325387592282	0.0879138411189111
"Scaffold"	"4. AtomPairs"	" CYP2D6"	"SVM"	3.45148508082165	0.410228932965227	2.45742634706886	0.205180138094066	-2.12986654690081	0.835045748049996	0.243125926933793	0.0787656765295384
"Scaffold"	"1. MorganBits"	" CYP2D6"	"XGBoost"	1.7640817744555	0.125193194455277	1.3535206337731	0.0837964943504642	0.198854471865141	0.0704026107602244	0.45538413852727	0.0822996951853977
"Scaffold"	"2. MorganCounts"	" CYP2D6"	"XGBoost"	1.77840515931794	0.132930423465416	1.36191527418347	0.0840064892350944	0.186188495144068	0.0716235999852131	0.442643302470845	0.083618621684273
"Scaffold"	"3. MACCS"	" CYP2D6"	"XGBoost"	1.8171794539379	0.122345517054334	1.38897105165211	0.0889919403558552	0.147388335453104	0.0975899339229363	0.407619600405976	0.0856315106640308
"Scaffold"	"0. RDKit Descriptors"	" CYP2D6"	"XGBoost"	1.71437064424062	0.135882240725059	1.29499234948249	0.0879936997517503	0.244642966882907	0.0580535798645721	0.500927549467883	0.0571446568171201
"Scaffold"	"5. PhysChem Descriptors"	" CYP2D6"	"XGBoost"	1.82153659626424	0.149567280581241	1.39434348302943	0.0979660135146822	0.148130501277535	0.0605760050623405	0.396037666778132	0.0687525287918504
"Scaffold"	"4. AtomPairs"	" CYP2D6"	"XGBoost"	1.75789896836455	0.14495686137477	1.34243172448785	0.099682288457485	0.205345904522205	0.0724303655998852	0.461061077643551	0.0792235628334631
"Scaffold"	"1. MorganBits"	" CYP3A4"	"RF"	1.59417603782484	0.213224870804254	1.15183886415694	0.142442185334644	0.39511236240677	0.143619342185899	0.644686177577033	0.0830086104827678
"Scaffold"	"2. MorganCounts"	" CYP3A4"	"RF"	1.5497896360074	0.188871723579944	1.12270846124222	0.131815964678401	0.431340023189786	0.107376092127832	0.665778639369858	0.0740944947232162
"Scaffold"	"3. MACCS"	" CYP3A4"	"RF"	1.6452644233114	0.172120559696128	1.21427923525821	0.12194734953679	0.35960098875542	0.102754024283211	0.60973770903379	0.0723123449191315
"Scaffold"	"0. RDKit Descriptors"	" CYP3A4"	"RF"	1.64970329767987	0.183745291956488	1.2165079726363	0.133729795114257	0.357206347719489	0.099922219312151	0.604127431321296	0.0794156591931847
"Scaffold"	"5. PhysChem Descriptors"	" CYP3A4"	"RF"	1.83326066496067	0.190975609070541	1.36270522996917	0.134861738722209	0.208863034835601	0.0949445436405169	0.47556139384678	0.0821778850764308
"Scaffold"	"4. AtomPairs"	" CYP3A4"	"RF"	1.56307495956267	0.176441205258788	1.14680696616615	0.131348244006814	0.421970066255308	0.0988598802568339	0.653200471220349	0.0759055456433043
"Scaffold"	"1. MorganBits"	" CYP3A4"	"SVM"	2.28409013458167	0.25556346680662	1.70063726980438	0.185064172061427	-0.255653898394442	0.335748405918178	0.445136636447461	0.0817924027068112
"Scaffold"	"2. MorganCounts"	" CYP3A4"	"SVM"	2.36494319504994	0.215685915225318	1.7608335216052	0.146053792839409	-0.340367716610625	0.299842096732207	0.429502975205289	0.0659523508062909
"Scaffold"	"3. MACCS"	" CYP3A4"	"SVM"	1.92856534785911	0.213738511385418	1.43815686802673	0.145722821256386	0.124062876697772	0.116683543175892	0.398752913500916	0.110933591394109
"Scaffold"	"0. RDKit Descriptors"	" CYP3A4"	"SVM"	1.83877941840494	0.201473917679756	1.33756688347185	0.141648618739318	0.201791437281443	0.117434120098267	0.483182632447995	0.101160606270658
"Scaffold"	"5. PhysChem Descriptors"	" CYP3A4"	"SVM"	2.83075187800486	0.950217154850439	2.31514498049387	0.914136040790136	-1.04120696852348	1.31222911020909	0.26176944686158	0.131431045573828
"Scaffold"	"4. AtomPairs"	" CYP3A4"	"SVM"	2.73722763719054	0.232584056697932	2.01488555654	0.153652711479117	-0.808927904248264	0.437772992186702	0.404052473555052	0.0957657273557652
"Scaffold"	"1. MorganBits"	" CYP3A4"	"XGBoost"	1.7130258727989	0.168701361687427	1.29999208646379	0.111702511100301	0.306504590300656	0.0988453019754367	0.565860724567033	0.0910574458118567
