"split_type"	"mol_rep"	"mol_prop"	"model_name"	"mean_metric_score.AUROC"	"std_metric_score.AUROC"	"mean_metric_score.AUPRC"	"std_metric_score.AUPRC"	"mean_metric_score.Precision_PPV"	"std_metric_score.Precision_PPV"	"mean_metric_score.Precision_NPV"	"std_metric_score.Precision_NPV"
"Scaffold"	"4. AtomPairs"	" CYP2D6"	"XGBoost"	0.470585252806573	0.437558918321534	0.06827599503434	0.113333433370627	0.0536363964345081	0.182523278772438	0.968404397010186	0.0718960136026204
"Scaffold"	"1. MorganBits"	" CYP3A4"	"RF"	0.831656079085412	0.13243479541056	0.537383774253488	0.275444003166808	0.395231659416647	0.375823032645761	0.989638735036193	0.0115142557929247
"Scaffold"	"2. MorganCounts"	" CYP3A4"	"RF"	0.844107442656189	0.140017476429992	0.525892881105117	0.275793564680306	0.382224746425678	0.37025136789611	0.990566196192285	0.0094885857247907
"Scaffold"	"3. MACCS"	" CYP3A4"	"RF"	0.799458212040887	0.143541263571015	0.433768952618507	0.28574533092973	0.406998809096171	0.374498115463445	0.990717155910454	0.0080790045137266
"Scaffold"	"0. RDKit Descriptors"	" CYP3A4"	"RF"	0.844906697786843	0.112170197765065	0.487543126027825	0.252018794523472	0.346199254043436	0.344951189895779	0.991837817768543	0.0060368434981289
"Scaffold"	"5. PhysChem Descriptors"	" CYP3A4"	"RF"	0.78949750814796	0.122943348716983	0.245842965835822	0.20702070935228	0.134875012541096	0.1969689550676	0.990095891701857	0.010687546597393
"Scaffold"	"4. AtomPairs"	" CYP3A4"	"RF"	0.883075449585606	0.102297964500739	0.521542083319077	0.254337674991457	0.389281416197507	0.357417068280554	0.992107951834314	0.0071514066940466
"Scaffold"	"1. MorganBits"	" CYP3A4"	"SVM"	0.845223966588397	0.136127149814186	0.4606368178153	0.253245046586737	0.304698754465139	0.296337430976945	0.991153336595553	0.0093101054068636
"Scaffold"	"2. MorganCounts"	" CYP3A4"	"SVM"	0.809565755173107	0.164248442980176	0.426800392202329	0.257432068665059	0.294184660077295	0.317184814423782	0.98780637233823	0.0182920168714737
"Scaffold"	"3. MACCS"	" CYP3A4"	"SVM"	0.762856800515035	0.159754449928132	0.265011971484072	0.19778378145286	0.197392832441508	0.229300937761377	0.988521139841522	0.0108318253290214
"Scaffold"	"0. RDKit Descriptors"	" CYP3A4"	"SVM"	0.814262369184376	0.122503252670079	0.335476746965421	0.20963089152469	0.17780459705494	0.259539986638455	0.988065564035707	0.0173634359909247
"Scaffold"	"5. PhysChem Descriptors"	" CYP3A4"	"SVM"	0.561682311888756	0.207456216321503	0.051224072166758	0.0537704626261696	0.0678871134754473	0.142387624584363	0.975118425767981	0.0210310609607241
"Scaffold"	"4. AtomPairs"	" CYP3A4"	"SVM"	0.782760332244123	0.181765076549257	0.341006895750063	0.231088578081362	0.223418827408432	0.23290145338346	0.985698582653437	0.0220934102979588
"Scaffold"	"1. MorganBits"	" CYP3A4"	"XGBoost"	0.814078392238538	0.12495317455093	0.404872548671228	0.231294514890429	0.351175248092269	0.374926074621532	0.988978988432349	0.008777470456379
"Scaffold"	"2. MorganCounts"	" CYP3A4"	"XGBoost"	0.761546604993387	0.168450484910895	0.434397357412127	0.254526510222689	0.303477250920747	0.325380827372128	0.986573327257087	0.0103676399351326
"Scaffold"	"3. MACCS"	" CYP3A4"	"XGBoost"	0.75186093283911	0.175572978483135	0.404978051445463	0.244419144871997	0.343242160928895	0.340511206201549	0.987267896027313	0.0161346702642393
