"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
18	"FreeSolv"	"Scaffold"	"Training vs Test"	0.374915324495389
19	"FreeSolv"	"Scaffold"	"Training vs Test"	0.360886610012788
20	"FreeSolv"	"Scaffold"	"Training vs Test"	0.356278819991992
21	"FreeSolv"	"Scaffold"	"Training vs Test"	0.405992477444502
22	"FreeSolv"	"Scaffold"	"Training vs Test"	0.304394238040997
23	"FreeSolv"	"Scaffold"	"Training vs Test"	0.378514780218785
24	"FreeSolv"	"Scaffold"	"Training vs Test"	0.386907744866151
25	"FreeSolv"	"Scaffold"	"Training vs Test"	0.391209898545192
26	"FreeSolv"	"Scaffold"	"Training vs Test"	0.386238393187523
27	"FreeSolv"	"Scaffold"	"Training vs Test"	0.363422324794989
28	"FreeSolv"	"Scaffold"	"Training vs Test"	0.321196020108003
29	"FreeSolv"	"Scaffold"	"Training vs Test"	0.42613425713319
0	"Lipop"	"Scaffold"	"Training vs Test"	0.558264611732392
1	"Lipop"	"Scaffold"	"Training vs Test"	0.56595369027484
2	"Lipop"	"Scaffold"	"Training vs Test"	0.535688843790974
3	"Lipop"	"Scaffold"	"Training vs Test"	0.547470910173087
4	"Lipop"	"Scaffold"	"Training vs Test"	0.558717881391446
5	"Lipop"	"Scaffold"	"Training vs Test"	0.555506638863257
6	"Lipop"	"Scaffold"	"Training vs Test"	0.526284076131526
7	"Lipop"	"Scaffold"	"Training vs Test"	0.550096378120638
8	"Lipop"	"Scaffold"	"Training vs Test"	0.562177770726737
9	"Lipop"	"Scaffold"	"Training vs Test"	0.577090068551756
10	"Lipop"	"Scaffold"	"Training vs Test"	0.539051883348397
11	"Lipop"	"Scaffold"	"Training vs Test"	0.568045295739458
12	"Lipop"	"Scaffold"	"Training vs Test"	0.534692767049585
13	"Lipop"	"Scaffold"	"Training vs Test"	0.602255220356442
14	"Lipop"	"Scaffold"	"Training vs Test"	0.569712106422299
15	"Lipop"	"Scaffold"	"Training vs Test"	0.547297523419062
16	"Lipop"	"Scaffold"	"Training vs Test"	0.558947044114272
17	"Lipop"	"Scaffold"	"Training vs Test"	0.539103197164479
18	"Lipop"	"Scaffold"	"Training vs Test"	0.575412387755655
19	"Lipop"	"Scaffold"	"Training vs Test"	0.547155096665734
20	"Lipop"	"Scaffold"	"Training vs Test"	0.548195287833611
21	"Lipop"	"Scaffold"	"Training vs Test"	0.532805629748674
22	"Lipop"	"Scaffold"	"Training vs Test"	0.567867774338949
23	"Lipop"	"Scaffold"	"Training vs Test"	0.565120873351892
24	"Lipop"	"Scaffold"	"Training vs Test"	0.565173649149282
25	"Lipop"	"Scaffold"	"Training vs Test"	0.550039407823767
26	"Lipop"	"Scaffold"	"Training vs Test"	0.522935609200171
27	"Lipop"	"Scaffold"	"Training vs Test"	0.57359518284599
28	"Lipop"	"Scaffold"	"Training vs Test"	0.551232442508141
29	"Lipop"	"Scaffold"	"Training vs Test"	0.552249960282019
0	" BACE"	"Random"	"Training vs Test"	0.795085744932294
1	" BACE"	"Random"	"Training vs Test"	0.802143468668586
2	" BACE"	"Random"	"Training vs Test"	0.795376087097745
3	" BACE"	"Random"	"Training vs Test"	0.78086955374793
4	" BACE"	"Random"	"Training vs Test"	0.803706844778437
5	" BACE"	"Random"	"Training vs Test"	0.807121260385764
6	" BACE"	"Random"	"Training vs Test"	0.788689360414681
