"fold"	"D_statistic"	"p_value"	"split_type"	"mol_prop"	"group"
29	0.0763888888888889	0.794824122019366	"Random"	"  MDR1"	" Validation vs Test"
0	0.182278860569715	0.000384563137607596	"Scaffold"	"  MDR1"	" Validation vs Test"
1	0.206056971514243	3.56629834714628e-05	"Scaffold"	"  MDR1"	" Validation vs Test"
2	0.0615592203898051	0.713664670747859	"Scaffold"	"  MDR1"	" Validation vs Test"
3	0.0831484257871064	0.335514430010526	"Scaffold"	"  MDR1"	" Validation vs Test"
4	0.0795802098950525	0.388561430812837	"Scaffold"	"  MDR1"	" Validation vs Test"
5	0.268935532233883	1.62857598517974e-08	"Scaffold"	"  MDR1"	" Validation vs Test"
6	0.169055472263868	0.0012722519757089	"Scaffold"	"  MDR1"	" Validation vs Test"
7	0.0910044977511245	0.236613692430991	"Scaffold"	"  MDR1"	" Validation vs Test"
8	0.113073463268366	0.0743056389286961	"Scaffold"	"  MDR1"	" Validation vs Test"
9	0.1647976011994	0.00183467400633441	"Scaffold"	"  MDR1"	" Validation vs Test"
10	0.12311844077961	0.0403354836963055	"Scaffold"	"  MDR1"	" Validation vs Test"
11	0.199790104947526	6.86560813615289e-05	"Scaffold"	"  MDR1"	" Validation vs Test"
12	0.100059970014992	0.151727457462331	"Scaffold"	"  MDR1"	" Validation vs Test"
13	0.220119940029985	7.61912669233755e-06	"Scaffold"	"  MDR1"	" Validation vs Test"
14	0.211064467766117	2.08260326207688e-05	"Scaffold"	"  MDR1"	" Validation vs Test"
15	0.0584107946026987	0.771905588046849	"Scaffold"	"  MDR1"	" Validation vs Test"
16	0.158200899550225	0.00317589705995047	"Scaffold"	"  MDR1"	" Validation vs Test"
17	0.0855172413793103	0.303106263411368	"Scaffold"	"  MDR1"	" Validation vs Test"
18	0.0457871064467766	0.950034268506463	"Scaffold"	"  MDR1"	" Validation vs Test"
19	0.0748125937031485	0.466944225328002	"Scaffold"	"  MDR1"	" Validation vs Test"
20	0.0943628185907047	0.201693126001696	"Scaffold"	"  MDR1"	" Validation vs Test"
21	0.0951724137931034	0.193900566933469	"Scaffold"	"  MDR1"	" Validation vs Test"
22	0.0896551724137931	0.25185683939269	"Scaffold"	"  MDR1"	" Validation vs Test"
23	0.112593703148426	0.0764062138141134	"Scaffold"	"  MDR1"	" Validation vs Test"
24	0.134092953523238	0.0194976491612165	"Scaffold"	"  MDR1"	" Validation vs Test"
25	0.0528035982008996	0.865358962043001	"Scaffold"	"  MDR1"	" Validation vs Test"
26	0.19832083958021	7.98177800206412e-05	"Scaffold"	"  MDR1"	" Validation vs Test"
27	0.0735832083958021	0.488413535130986	"Scaffold"	"  MDR1"	" Validation vs Test"
28	0.0895652173913044	0.252898297846738	"Scaffold"	"  MDR1"	" Validation vs Test"
29	0.187226386806597	0.000240161062227462	"Scaffold"	"  MDR1"	" Validation vs Test"
0	0.0560144927536233	0.816817336924949	"Random"	"  MDR1"	" Training vs Validation"
1	0.0492632850241545	0.915301498518155	"Random"	"  MDR1"	" Training vs Validation"
2	0.0913405797101449	0.235999245639101	"Random"	"  MDR1"	" Training vs Validation"
3	0.0621135265700482	0.70679183026564	"Random"	"  MDR1"	" Training vs Validation"
4	0.096171497584541	0.187317116911768	"Random"	"  MDR1"	" Training vs Validation"
5	0.044927536231884	0.958423142278483	"Random"	"  MDR1"	" Training vs Validation"
6	0.0436231884057971	0.967955301176525	"Random"	"  MDR1"	" Training vs Validation"
7	0.0514734299516908	0.886817017881697	"Random"	"  MDR1"	" Training vs Validation"
