"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
118	0.994152046783626	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"cutoff7"	"N"	0
119	0.994152046783626	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"cutoff7"	"Y"	0
120	0.990604815032296	"AUROC"	"  MDR1"	"RF"	7	"Random"	"cutoff6"	"N"	0.694444444444444
121	0.992307692307692	"AUROC"	"  MDR1"	"RF"	7	"Random"	"cutoff6"	"Y"	0.694444444444444
124	0.961757105943152	"AUROC"	"  MDR1"	"RF"	7	"Random"	"cutoff5"	"N"	0.694444444444444
125	0.959579180509413	"AUROC"	"  MDR1"	"RF"	7	"Random"	"cutoff5"	"Y"	0.694444444444444
126	0.923295454545454	"AUROC"	"  MDR1"	"RF"	7	"Random"	"cutoff7"	"N"	0.694444444444444
127	0.923346055979644	"AUROC"	"  MDR1"	"RF"	7	"Random"	"cutoff7"	"Y"	0.694444444444444
128	1	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"cutoff6"	"N"	0
129	1	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"cutoff6"	"Y"	0
132	0.996927803379416	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"cutoff5"	"N"	0
133	0.996927803379416	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"cutoff5"	"Y"	0
134	1	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"cutoff7"	"N"	0
135	1	"AUROC"	"  MDR1"	"RF"	8	"Scaffold"	"cutoff7"	"Y"	0
136	1	"AUROC"	"  MDR1"	"RF"	8	"Random"	"cutoff6"	"N"	2.08333333333333
137	1	"AUROC"	"  MDR1"	"RF"	8	"Random"	"cutoff6"	"Y"	2.08333333333333
140	0.972209356183418	"AUROC"	"  MDR1"	"RF"	8	"Random"	"cutoff5"	"N"	2.08333333333333
141	0.966254218222722	"AUROC"	"  MDR1"	"RF"	8	"Random"	"cutoff5"	"Y"	2.08333333333333
142	1	"AUROC"	"  MDR1"	"RF"	8	"Random"	"cutoff7"	"N"	2.08333333333333
143	1	"AUROC"	"  MDR1"	"RF"	8	"Random"	"cutoff7"	"Y"	2.08333333333333
144	0.984155844155844	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"cutoff6"	"N"	2.06896551724138
145	0.988601612454823	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"cutoff6"	"Y"	2.06896551724138
148	0.985235235235235	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"cutoff5"	"N"	2.06896551724138
149	0.983932461873638	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"cutoff5"	"Y"	2.06896551724138
150	0.96939736346516	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"cutoff7"	"N"	2.06896551724138
151	0.969404186795491	"AUROC"	"  MDR1"	"RF"	9	"Scaffold"	"cutoff7"	"Y"	2.06896551724138
152	0.973367299675776	"AUROC"	"  MDR1"	"RF"	9	"Random"	"cutoff6"	"N"	4.86111111111111
153	0.974333333333333	"AUROC"	"  MDR1"	"RF"	9	"Random"	"cutoff6"	"Y"	4.86111111111111
156	0.917361111111111	"AUROC"	"  MDR1"	"RF"	9	"Random"	"cutoff5"	"N"	4.86111111111111
157	0.887745098039216	"AUROC"	"  MDR1"	"RF"	9	"Random"	"cutoff5"	"Y"	4.86111111111111
158	0.91440329218107	"AUROC"	"  MDR1"	"RF"	9	"Random"	"cutoff7"	"N"	4.86111111111111
159	0.913194444444444	"AUROC"	"  MDR1"	"RF"	9	"Random"	"cutoff7"	"Y"	4.86111111111111
160	0.989963503649635	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"cutoff6"	"N"	7.58620689655172
161	1	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"cutoff6"	"Y"	7.58620689655172
164	0.967692307692308	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"cutoff5"	"N"	7.58620689655172
165	0.919230769230769	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"cutoff5"	"Y"	7.58620689655172
166	1	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"cutoff7"	"N"	7.58620689655172
167	1	"AUROC"	"  MDR1"	"RF"	10	"Scaffold"	"cutoff7"	"Y"	7.58620689655172
168	0.98062015503876	"AUROC"	"  MDR1"	"RF"	10	"Random"	"cutoff6"	"N"	1.38888888888889
169	1	"AUROC"	"  MDR1"	"RF"	10	"Random"	"cutoff6"	"Y"	1.38888888888889
172	0.974293654469662	"AUROC"	"  MDR1"	"RF"	10	"Random"	"cutoff5"	"N"	1.38888888888889
173	0.9750656167979	"AUROC"	"  MDR1"	"RF"	10	"Random"	"cutoff5"	"Y"	1.38888888888889
174	1	"AUROC"	"  MDR1"	"RF"	10	"Random"	"cutoff7"	"N"	1.38888888888889
175	1	"AUROC"	"  MDR1"	"RF"	10	"Random"	"cutoff7"	"Y"	1.38888888888889
176	0.981123662306778	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"cutoff6"	"N"	1.37931034482759
177	0.98804347826087	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"cutoff6"	"Y"	1.37931034482759
180	0.963633849557522	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"cutoff5"	"N"	1.37931034482759
181	0.962979351032448	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"cutoff5"	"Y"	1.37931034482759
182	1	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"cutoff7"	"N"	1.37931034482759
183	1	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"cutoff7"	"Y"	1.37931034482759
184	0.973643410852713	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff6"	"N"	5.55555555555556
185	0.996825396825397	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff6"	"Y"	5.55555555555556
188	0.999157894736842	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff5"	"N"	5.55555555555556
189	1	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff5"	"Y"	5.55555555555556
190	1	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff7"	"N"	5.55555555555556
191	1	"AUROC"	"  MDR1"	"RF"	11	"Random"	"cutoff7"	"Y"	5.55555555555556
192	0.825273722627737	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"cutoff6"	"N"	7.58620689655172
193	0.683206106870229	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"cutoff6"	"Y"	7.58620689655172
196	0.903762268266085	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"cutoff5"	"N"	7.58620689655172
197	0.648854961832061	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"cutoff5"	"Y"	7.58620689655172
198	0.766431924882629	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"cutoff7"	"N"	7.58620689655172
199	0.772264631043257	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"cutoff7"	"Y"	7.58620689655172
200	0.94140625	"AUROC"	"  MDR1"	"RF"	12	"Random"	"cutoff6"	"N"	6.25
