"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
176	0.981123662306778	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"Cutoff value: 6"	"N"	1.37931034482759
180	0.963633849557522	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"Cutoff value: 5"	"N"	1.37931034482759
182	1	"AUROC"	"  MDR1"	"RF"	11	"Scaffold"	"Cutoff value: 7"	"N"	1.37931034482759
184	0.973643410852713	"AUROC"	"  MDR1"	"RF"	11	"Random"	"Cutoff value: 6"	"N"	5.55555555555556
188	0.999157894736842	"AUROC"	"  MDR1"	"RF"	11	"Random"	"Cutoff value: 5"	"N"	5.55555555555556
190	1	"AUROC"	"  MDR1"	"RF"	11	"Random"	"Cutoff value: 7"	"N"	5.55555555555556
192	0.825273722627737	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"Cutoff value: 6"	"N"	7.58620689655172
196	0.903762268266085	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"Cutoff value: 5"	"N"	7.58620689655172
198	0.766431924882629	"AUROC"	"  MDR1"	"RF"	12	"Scaffold"	"Cutoff value: 7"	"N"	7.58620689655172
200	0.94140625	"AUROC"	"  MDR1"	"RF"	12	"Random"	"Cutoff value: 6"	"N"	6.25
204	0.953542392566783	"AUROC"	"  MDR1"	"RF"	12	"Random"	"Cutoff value: 5"	"N"	6.25
206	0.925746268656716	"AUROC"	"  MDR1"	"RF"	12	"Random"	"Cutoff value: 7"	"N"	6.25
208	0.15625	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"Cutoff value: 6"	"N"	0
212	0.435314685314685	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"Cutoff value: 5"	"N"	0
214	0.315972222222222	"AUROC"	"  MDR1"	"RF"	13	"Scaffold"	"Cutoff value: 7"	"N"	0
216	0.9921875	"AUROC"	"  MDR1"	"RF"	13	"Random"	"Cutoff value: 6"	"N"	3.47222222222222
220	0.98991935483871	"AUROC"	"  MDR1"	"RF"	13	"Random"	"Cutoff value: 5"	"N"	3.47222222222222
222	0.992739898989899	"AUROC"	"  MDR1"	"RF"	13	"Random"	"Cutoff value: 7"	"N"	3.47222222222222
224	0.824979114452799	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"Cutoff value: 6"	"N"	12.4137931034483
228	0.879120879120879	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"Cutoff value: 5"	"N"	12.4137931034483
230	0.868613138686131	"AUROC"	"  MDR1"	"RF"	14	"Scaffold"	"Cutoff value: 7"	"N"	12.4137931034483
232	0.976119402985075	"AUROC"	"  MDR1"	"RF"	14	"Random"	"Cutoff value: 6"	"N"	2.08333333333333
236	0.977519379844961	"AUROC"	"  MDR1"	"RF"	14	"Random"	"Cutoff value: 5"	"N"	2.08333333333333
238	0.980246913580247	"AUROC"	"  MDR1"	"RF"	14	"Random"	"Cutoff value: 7"	"N"	2.08333333333333
240	0.945736434108527	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"Cutoff value: 6"	"N"	0
244	0.942694663167104	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"Cutoff value: 5"	"N"	0
246	0.942307692307692	"AUROC"	"  MDR1"	"RF"	15	"Scaffold"	"Cutoff value: 7"	"N"	0
248	1	"AUROC"	"  MDR1"	"RF"	15	"Random"	"Cutoff value: 6"	"N"	5.55555555555556
252	0.994105263157895	"AUROC"	"  MDR1"	"RF"	15	"Random"	"Cutoff value: 5"	"N"	5.55555555555556
254	0.999253731343284	"AUROC"	"  MDR1"	"RF"	15	"Random"	"Cutoff value: 7"	"N"	5.55555555555556
256	0.90962441314554	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"Cutoff value: 6"	"N"	0
260	0.810719131614654	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"Cutoff value: 5"	"N"	0
262	0.931924882629108	"AUROC"	"  MDR1"	"RF"	16	"Scaffold"	"Cutoff value: 7"	"N"	0
264	0.999316473000684	"AUROC"	"  MDR1"	"RF"	16	"Random"	"Cutoff value: 6"	"N"	2.08333333333333
268	0.981009726725336	"AUROC"	"  MDR1"	"RF"	16	"Random"	"Cutoff value: 5"	"N"	2.08333333333333
270	0.995061728395062	"AUROC"	"  MDR1"	"RF"	16	"Random"	"Cutoff value: 7"	"N"	2.08333333333333
272	0.996296296296296	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"Cutoff value: 6"	"N"	1.37931034482759
276	0.911668484187568	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"Cutoff value: 5"	"N"	1.37931034482759
278	0.995915032679739	"AUROC"	"  MDR1"	"RF"	17	"Scaffold"	"Cutoff value: 7"	"N"	1.37931034482759
280	0.907835820895522	"AUROC"	"  MDR1"	"RF"	17	"Random"	"Cutoff value: 6"	"N"	5.55555555555556
284	0.93701171875	"AUROC"	"  MDR1"	"RF"	17	"Random"	"Cutoff value: 5"	"N"	5.55555555555556
286	0.847482014388489	"AUROC"	"  MDR1"	"RF"	17	"Random"	"Cutoff value: 7"	"N"	5.55555555555556
288	0.99874686716792	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"Cutoff value: 6"	"N"	5.51724137931035
292	0.994485294117647	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"Cutoff value: 5"	"N"	5.51724137931035
294	0.995203836930456	"AUROC"	"  MDR1"	"RF"	18	"Scaffold"	"Cutoff value: 7"	"N"	5.51724137931035
296	0.993406593406593	"AUROC"	"  MDR1"	"RF"	18	"Random"	"Cutoff value: 6"	"N"	3.47222222222222
300	0.956521739130435	"AUROC"	"  MDR1"	"RF"	18	"Random"	"Cutoff value: 5"	"N"	3.47222222222222
302	0.993004115226338	"AUROC"	"  MDR1"	"RF"	18	"Random"	"Cutoff value: 7"	"N"	3.47222222222222
