"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
353	0.826438848920863	"AUROC"	"  MDR1"	"RF"	22	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.37931034482759
360	0.996212121212121	"AUROC"	"  MDR1"	"RF"	22	"Random"	"cutoff6"	" Original"	2.77777777777778
361	0.997455470737914	"AUROC"	"  MDR1"	"RF"	22	"Random"	"cutoff6"	"Edge Cases Removed"	2.77777777777778
368	1	"AUROC"	"  MDR1"	"RF"	23	" Scaffold"	"cutoff6"	" Original"	0
369	1	"AUROC"	"  MDR1"	"RF"	23	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
376	0.956298828125	"AUROC"	"  MDR1"	"RF"	23	"Random"	"cutoff6"	" Original"	2.08333333333333
377	0.953599550056243	"AUROC"	"  MDR1"	"RF"	23	"Random"	"cutoff6"	"Edge Cases Removed"	2.08333333333333
384	0.903955808980755	"AUROC"	"  MDR1"	"RF"	24	" Scaffold"	"cutoff6"	" Original"	2.06896551724138
385	0.899055489964581	"AUROC"	"  MDR1"	"RF"	24	" Scaffold"	"cutoff6"	"Edge Cases Removed"	2.06896551724138
392	0.972988843217851	"AUROC"	"  MDR1"	"RF"	24	"Random"	"cutoff6"	" Original"	3.47222222222222
393	1	"AUROC"	"  MDR1"	"RF"	24	"Random"	"cutoff6"	"Edge Cases Removed"	3.47222222222222
400	0.996296296296296	"AUROC"	"  MDR1"	"RF"	25	" Scaffold"	"cutoff6"	" Original"	1.37931034482759
401	0.996683250414594	"AUROC"	"  MDR1"	"RF"	25	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.37931034482759
408	0.990430622009569	"AUROC"	"  MDR1"	"RF"	25	"Random"	"cutoff6"	" Original"	3.47222222222222
409	0.993023255813954	"AUROC"	"  MDR1"	"RF"	25	"Random"	"cutoff6"	"Edge Cases Removed"	3.47222222222222
416	1	"AUROC"	"  MDR1"	"RF"	26	" Scaffold"	"cutoff6"	" Original"	2.06896551724138
417	1	"AUROC"	"  MDR1"	"RF"	26	" Scaffold"	"cutoff6"	"Edge Cases Removed"	2.06896551724138
424	0.998901098901099	"AUROC"	"  MDR1"	"RF"	26	"Random"	"cutoff6"	" Original"	1.38888888888889
425	0.999441964285714	"AUROC"	"  MDR1"	"RF"	26	"Random"	"cutoff6"	"Edge Cases Removed"	1.38888888888889
432	0.99896480331263	"AUROC"	"  MDR1"	"RF"	27	" Scaffold"	"cutoff6"	" Original"	2.06896551724138
433	1	"AUROC"	"  MDR1"	"RF"	27	" Scaffold"	"cutoff6"	"Edge Cases Removed"	2.06896551724138
440	0.974116161616162	"AUROC"	"  MDR1"	"RF"	27	"Random"	"cutoff6"	" Original"	2.77777777777778
441	0.964962121212121	"AUROC"	"  MDR1"	"RF"	27	"Random"	"cutoff6"	"Edge Cases Removed"	2.77777777777778
