"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1.38250753184492e-05	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.778783968942289	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.636140685770246	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.293858729054122	"ranksums"	">=0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1.38250753184492e-05	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"Aurora-A"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"Aurora-A"	" Scaffold"	0.505859178079598	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"Aurora-A"	" Scaffold"	0.00181149797610815	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	0.0119589835689516	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	7.04362077704064e-10	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"Aurora-A"	" Scaffold"	0.219782260816141	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"Aurora-A"	" Scaffold"	0.505859178079598	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"Aurora-A"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"Aurora-A"	" Scaffold"	0.000100947188812739	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	0.00221059231642181	"ranksums"	"<0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"Aurora-A"	" Scaffold"	2.48787397981522e-10	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"Aurora-A"	" Scaffold"	0.43328979562189	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"Aurora-A"	" Scaffold"	0.00181149797610815	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"Aurora-A"	" Scaffold"	0.000100947188812739	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"Aurora-A"	" Scaffold"	1	"ranksums"	">=0.05"
